Y,red,green,blue,ir_3,vis_3,E
0,63.0,53.0,107.0,674.0,149.0,0
0,67.0,78.0,105.0,890.0,207.0,0
0,62.0,6.0,97.0,474.0,135.0,0
1,39.0,35.0,72.0,307.0,76.0,0
1,62.0,2.0,71.0,284.0,60.0,0
1,86.0,71.0,115.0,659.0,139.0,0
0,84.0,61.0,93.0,917.0,212.0,0
1,72.0,41.0,81.0,468.0,81.0,0
1,56.0,12.0,96.0,327.0,76.0,0
0,49.0,46.0,84.0,514.0,146.0,0
0,71.0,62.0,72.0,844.0,155.0,0
1,60.0,18.0,96.0,304.0,63.0,0
1,83.0,50.0,73.0,469.0,89.0,0
0,33.0,63.0,101.0,573.0,172.0,0
1,75.0,38.0,80.0,420.0,88.0,0
1,49.0,36.0,82.0,336.0,82.0,0
0,33.0,4.0,95.0,307.0,108.0,0
1,52.0,58.0,106.0,359.0,112.0,0
0,48.0,36.0,72.0,582.0,120.0,0
0,74.0,7.0,107.0,553.0,164.0,0
1,69.0,96.0,98.0,565.0,120.0,0
0,89.0,26.0,116.0,673.0,163.0,0
1,94.0,3.0,98.0,460.0,84.0,0
0,73.0,30.0,94.0,748.0,169.0,0
0,30.0,56.0,85.0,452.0,146.0,0
0,95.0,49.0,102.0,774.0,174.0,0
0,89.0,18.0,91.0,650.0,141.0,0
0,76.0,5.0,80.0,529.0,129.0,0
1,36.0,22.0,97.0,267.0,70.0,0
1,71.0,83.0,86.0,571.0,105.0,0
0,56.0,3.0,99.0,459.0,114.0,0
0,59.0,53.0,85.0,642.0,156.0,0
0,74.0,48.0,82.0,684.0,180.0,0
0,89.0,16.0,97.0,577.0,148.0,0
1,54.0,82.0,102.0,495.0,131.0,0
1,66.0,48.0,72.0,365.0,86.0,0
1,68.0,31.0,115.0,380.0,95.0,0
1,73.0,25.0,89.0,379.0,92.0,0
1,38.0,34.0,87.0,275.0,79.0,0
0,87.0,45.0,101.0,587.0,157.0,0
0,74.0,53.0,89.0,537.0,150.0,0
1,24.0,38.0,85.0,203.0,75.0,0
0,95.0,18.0,82.0,685.0,130.0,0
0,41.0,43.0,88.0,510.0,135.0,0
1,104.0,6.0,90.0,420.0,80.0,0
