Y,red,green,blue,ir_3,vis_3,E
0,63.0,53.0,107.0,656.0,168.0,0
0,67.0,78.0,105.0,880.0,209.0,0
0,62.0,6.0,97.0,451.0,139.0,0
1,39.0,35.0,72.0,331.0,103.0,0
1,62.0,2.0,71.0,361.0,76.0,0
1,86.0,71.0,115.0,735.0,219.0,0
0,84.0,61.0,93.0,947.0,183.0,0
1,72.0,41.0,81.0,504.0,131.0,0
1,56.0,12.0,96.0,382.0,97.0,0
0,49.0,46.0,84.0,472.0,140.0,0
0,71.0,62.0,72.0,663.0,167.0,0
1,60.0,18.0,96.0,417.0,93.0,0
1,83.0,50.0,73.0,599.0,142.0,0
0,33.0,63.0,101.0,524.0,179.0,0
1,75.0,38.0,80.0,480.0,92.0,0
1,49.0,36.0,82.0,428.0,93.0,0
0,33.0,4.0,95.0,312.0,108.0,0
1,52.0,58.0,106.0,487.0,147.0,0
0,48.0,36.0,72.0,454.0,86.0,0
0,74.0,7.0,107.0,597.0,129.0,0
1,69.0,96.0,98.0,630.0,166.0,0
0,89.0,26.0,116.0,721.0,200.0,0
1,94.0,3.0,98.0,536.0,113.0,0
0,73.0,30.0,94.0,552.0,163.0,0
0,30.0,56.0,85.0,483.0,173.0,0
0,95.0,49.0,102.0,1032.0,199.0,0
0,89.0,18.0,91.0,683.0,129.0,0
0,76.0,5.0,80.0,504.0,119.0,0
1,36.0,22.0,97.0,298.0,104.0,0
1,71.0,83.0,86.0,699.0,108.0,0
0,56.0,3.0,99.0,485.0,117.0,0
0,59.0,53.0,85.0,665.0,169.0,0
0,74.0,48.0,82.0,731.0,149.0,0
0,89.0,16.0,97.0,643.0,163.0,0
1,54.0,82.0,102.0,562.0,158.0,0
1,66.0,48.0,72.0,525.0,125.0,0
1,68.0,31.0,115.0,538.0,112.0,0
1,73.0,25.0,89.0,501.0,112.0,0
1,38.0,34.0,87.0,316.0,86.0,0
0,87.0,45.0,101.0,841.0,175.0,0
0,74.0,53.0,89.0,678.0,134.0,0
1,24.0,38.0,85.0,273.0,79.0,0
0,95.0,18.0,82.0,693.0,116.0,0
0,41.0,43.0,88.0,498.0,114.0,0
1,104.0,6.0,90.0,550.0,106.0,0
1,67.0,31.0,94.0,478.0,94.0,0
0,49.0,36.0,95.0,508.0,129.0,0
0,72.0,116.0,103.0,1054.0,305.0,0
1,61.0,3.0,87.0,390.0,87.0,0
0,47.0,19.0,81.0,416.0,116.0,0
1,41.0,13.0,81.0,311.0,74.0,0
1,37.0,28.0,90.0,347.0,71.0,0
0,66.0,90.0,83.0,842.0,174.0,0
1,67.0,46.0,73.0,445.0,114.0,0
1,31.0,28.0,83.0,338.0,102.0,0
0,66.0,33.0,108.0,601.0,174.0,0
1,76.0,39.0,71.0,556.0,120.0,0
0,76.0,23.0,79.0,600.0,126.0,0
1,65.0,72.0,109.0,535.0,158.0,0
0,57.0,20.0,89.0,527.0,136.0,0
1,38.0,41.0,102.0,382.0,101.0,0
0,97.0,23.0,103.0,768.0,161.0,0
0,63.0,108.0,99.0,921.0,218.0,0
0,31.0,17.0,62.0,254.0,76.0,0
0,75.0,36.0,84.0,582.0,132.0,0
1,68.0,8.0,97.0,414.0,94.0,0
0,52.0,19.0,107.0,506.0,156.0,0
1,98.0,43.0,75.0,694.0,140.0,0
0,55.0,43.0,93.0,622.0,179.0,0
1,70.0,82.0,93.0,786.0,174.0,0
0,82.0,9.0,83.0,637.0,121.0,0
1,82.0,52.0,103.0,685.0,153.0,0
1,40.0,45.0,90.0,342.0,100.0,0
0,75.0,15.0,88.0,583.0,139.0,0
1,77.0,70.0,83.0,595.0,153.0,0
1,69.0,46.0,88.0,456.0,112.0,0
0,61.0,35.0,99.0,519.0,155.0,0
1,71.0,34.0,71.0,405.0,83.0,0
1,52.0,40.0,83.0,402.0,103.0,0
1,66.0,19.0,93.0,423.0,99.0,0
0,62.0,16.0,90.0,490.0,142.0,0
0,71.0,31.0,68.0,582.0,140.0,0
0,26.0,54.0,102.0,472.0,118.0,0
1,37.0,63.0,80.0,373.0,100.0,0
1,88.0,49.0,85.0,574.0,128.0,0
0,73.0,12.0,93.0,515.0,128.0,0
1,68.0,16.0,96.0,480.0,110.0,0
0,54.0,22.0,107.0,520.0,141.0,0
1,77.0,8.0,67.0,478.0,90.0,0
0,27.0,60.0,91.0,475.0,145.0,0
0,65.0,16.0,65.0,547.0,99.0,0
1,85.0,20.0,82.0,461.0,99.0,0
1,69.0,86.0,92.0,796.0,153.0,0
0,102.0,53.0,65.0,841.0,150.0,0
0,51.0,31.0,99.0,486.0,148.0,0
1,60.0,39.0,110.0,509.0,133.0,0
1,51.0,25.0,81.0,391.0,79.0,0
0,83.0,61.0,103.0,823.0,212.0,0
0,86.0,20.0,87.0,648.0,141.0,0
1,37.0,35.0,90.0,312.0,116.0,0
0,68.0,1.0,91.0,624.0,149.0,0
0,60.0,17.0,85.0,472.0,131.0,0
1,67.0,5.0,76.0,364.0,87.0,0
1,58.0,11.0,92.0,368.0,81.0,0
1,47.0,63.0,90.0,569.0,127.0,0
1,64.0,75.0,80.0,657.0,157.0,0
0,42.0,30.0,70.0,409.0,79.0,0
0,76.0,17.0,86.0,595.0,129.0,0
1,68.0,45.0,87.0,499.0,98.0,0
1,75.0,26.0,91.0,519.0,109.0,0
1,32.0,60.0,94.0,385.0,104.0,0
0,84.0,32.0,74.0,689.0,115.0,0
1,58.0,14.0,96.0,421.0,104.0,0
1,72.0,49.0,80.0,565.0,125.0,0
0,95.0,57.0,69.0,902.0,190.0,0
1,56.0,26.0,86.0,394.0,108.0,0
0,57.0,1.0,79.0,385.0,87.0,0
0,49.0,83.0,72.0,655.0,193.0,0
1,70.0,56.0,90.0,493.0,144.0,0
0,89.0,67.0,106.0,984.0,217.0,0
0,50.0,20.0,99.0,542.0,131.0,0
1,56.0,69.0,91.0,621.0,132.0,0
1,50.0,25.0,74.0,410.0,96.0,0
1,63.0,33.0,85.0,461.0,99.0,0
0,46.0,36.0,92.0,477.0,132.0,0
0,69.0,15.0,100.0,588.0,139.0,0
1,86.0,55.0,100.0,692.0,148.0,0
1,55.0,36.0,70.0,378.0,85.0,0
0,75.0,31.0,93.0,577.0,163.0,0
0,79.0,36.0,106.0,766.0,180.0,0
1,73.0,59.0,81.0,527.0,133.0,0
0,64.0,69.0,94.0,741.0,171.0,0
0,86.0,59.0,84.0,790.0,174.0,0
1,63.0,23.0,80.0,425.0,91.0,0
0,86.0,15.0,97.0,518.0,146.0,0
1,65.0,54.0,90.0,503.0,111.0,0
0,56.0,39.0,82.0,479.0,108.0,0
1,57.0,38.0,107.0,564.0,130.0,0
0,31.0,48.0,85.0,463.0,137.0,0
1,93.0,71.0,80.0,671.0,154.0,0
1,71.0,37.0,97.0,512.0,117.0,0
1,61.0,49.0,66.0,398.0,95.0,0
1,37.0,54.0,82.0,404.0,111.0,0
0,56.0,11.0,100.0,445.0,110.0,0
0,63.0,4.0,83.0,537.0,115.0,0
0,83.0,62.0,86.0,744.0,157.0,0
0,51.0,56.0,69.0,572.0,132.0,0
1,111.0,19.0,110.0,689.0,140.0,0
0,67.0,105.0,114.0,910.0,251.0,0
0,75.0,23.0,78.0,568.0,116.0,0
1,96.0,46.0,85.0,612.0,125.0,0
1,55.0,52.0,114.0,647.0,178.0,0
0,68.0,51.0,85.0,622.0,137.0,0
0,63.0,49.0,75.0,584.0,156.0,0
0,59.0,57.0,94.0,635.0,158.0,0
0,44.0,34.0,99.0,507.0,170.0,0
1,85.0,28.0,106.0,642.0,125.0,0
1,69.0,64.0,96.0,536.0,138.0,0
