Y,red,green,blue,ir_3,vis_3,E
0,99.0,91.0,131.0,1023.0,291.0,0
0,104.0,109.0,129.0,1175.0,283.0,0
0,98.0,48.0,119.0,848.0,237.0,0
1,69.0,78.0,88.0,562.0,153.0,0
1,97.0,38.0,87.0,485.0,114.0,0
1,128.0,104.0,141.0,897.0,254.0,0
0,124.0,97.0,114.0,1099.0,290.0,0
1,110.0,83.0,99.0,761.0,152.0,0
1,90.0,58.0,117.0,620.0,135.0,0
0,81.0,86.0,103.0,810.0,238.0,0
0,109.0,98.0,88.0,897.0,224.0,0
1,95.0,64.0,117.0,625.0,180.0,0
1,123.0,89.0,89.0,844.0,186.0,0
0,61.0,99.0,124.0,789.0,252.0,0
1,114.0,80.0,98.0,676.0,151.0,0
1,81.0,79.0,100.0,614.0,97.0,0
0,61.0,45.0,117.0,768.0,160.0,0
1,84.0,95.0,129.0,711.0,183.0,0
0,80.0,79.0,87.0,835.0,191.0,0
0,112.0,51.0,131.0,1089.0,272.0,0
1,106.0,121.0,120.0,1024.0,207.0,0
0,132.0,71.0,143.0,1119.0,278.0,0
1,137.0,42.0,120.0,738.0,153.0,0
0,111.0,75.0,115.0,856.0,204.0,0
0,57.0,93.0,103.0,816.0,244.0,0
0,139.0,89.0,124.0,1114.0,268.0,0
0,132.0,63.0,111.0,1206.0,235.0,0
0,115.0,47.0,97.0,1072.0,182.0,0
1,66.0,67.0,119.0,576.0,148.0,0
1,109.0,112.0,105.0,804.0,181.0,0
0,90.0,42.0,121.0,686.0,187.0,0
0,94.0,92.0,104.0,904.0,247.0,0
0,113.0,88.0,100.0,872.0,262.0,0
0,131.0,61.0,119.0,1129.0,192.0,0
1,87.0,112.0,126.0,744.0,217.0,0
1,102.0,88.0,88.0,723.0,151.0,0
1,105.0,75.0,141.0,631.0,193.0,0
1,111.0,70.0,109.0,674.0,157.0,0
1,67.0,78.0,106.0,581.0,151.0,0
0,128.0,85.0,123.0,1263.0,249.0,0
0,112.0,91.0,109.0,1099.0,213.0,0
1,50.0,80.0,103.0,539.0,122.0,0
0,139.0,64.0,99.0,1105.0,239.0,0
0,72.0,84.0,107.0,927.0,213.0,0
1,151.0,50.0,110.0,764.0,144.0,0
1,104.0,75.0,115.0,769.0,137.0,0
0,81.0,79.0,116.0,917.0,248.0,0
0,110.0,135.0,127.0,1314.0,249.0,0
1,96.0,43.0,106.0,516.0,123.0,0
0,78.0,65.0,99.0,809.0,188.0,0
1,71.0,59.0,99.0,485.0,126.0,0
1,66.0,73.0,110.0,531.0,136.0,0
0,102.0,117.0,102.0,1242.0,321.0,0
1,104.0,86.0,89.0,770.0,151.0,0
1,59.0,72.0,102.0,493.0,120.0,0
0,103.0,76.0,133.0,955.0,242.0,0
1,115.0,81.0,86.0,630.0,168.0,0
0,115.0,68.0,96.0,1060.0,201.0,0
1,102.0,105.0,134.0,712.0,208.0,0
0,91.0,65.0,109.0,900.0,239.0,0
1,67.0,83.0,125.0,610.0,177.0,0
0,141.0,69.0,126.0,1216.0,225.0,0
0,98.0,129.0,122.0,1262.0,316.0,0
0,58.0,62.0,75.0,532.0,159.0,0
