Y,red,green,blue,ir_3,vis_3,E
1,84.0,32.0,74.0,737.0,145.0,0
1,67.0,29.0,113.0,602.0,165.0,0
1,62.0,16.0,90.0,524.0,122.0,0
0,56.0,39.0,82.0,453.0,112.0,0
0,68.0,1.0,91.0,558.0,135.0,0
1,66.0,90.0,83.0,918.0,181.0,0
1,83.0,61.0,103.0,962.0,221.0,0
0,51.0,56.0,69.0,651.0,150.0,0
1,63.0,49.0,75.0,600.0,136.0,0
0,56.0,3.0,99.0,474.0,136.0,0
0,42.0,30.0,70.0,380.0,99.0,0
0,51.0,31.0,99.0,516.0,158.0,0
0,31.0,17.0,62.0,292.0,84.0,0
1,59.0,57.0,94.0,626.0,168.0,0
1,57.0,45.0,101.0,575.0,151.0,0
1,67.0,78.0,105.0,835.0,242.0,0
1,89.0,26.0,116.0,827.0,199.0,0
0,45.0,21.0,90.0,459.0,116.0,0
1,59.0,53.0,85.0,642.0,183.0,0
1,72.0,116.0,103.0,1101.0,253.0,0
1,67.0,25.0,87.0,673.0,133.0,0
0,67.0,15.0,94.0,565.0,134.0,0
0,65.0,16.0,65.0,543.0,104.0,0
1,69.0,15.0,100.0,651.0,134.0,0
0,41.0,43.0,88.0,550.0,145.0,0
0,46.0,36.0,92.0,519.0,122.0,0
1,61.0,35.0,99.0,506.0,130.0,0
1,86.0,20.0,87.0,720.0,165.0,0
1,89.0,67.0,106.0,909.0,196.0,0
0,49.0,36.0,95.0,524.0,134.0,0
0,62.0,6.0,97.0,549.0,144.0,0
1,63.0,108.0,99.0,960.0,262.0,0
0,60.0,17.0,85.0,513.0,128.0,0
1,102.0,53.0,65.0,763.0,163.0,0
1,83.0,62.0,86.0,924.0,180.0,0
1,75.0,36.0,84.0,609.0,134.0,0
0,54.0,22.0,107.0,518.0,149.0,0
0,43.0,34.0,82.0,501.0,139.0,0
1,95.0,18.0,82.0,738.0,123.0,0
1,79.0,36.0,106.0,731.0,188.0,0
0,50.0,20.0,99.0,522.0,149.0,0
1,75.0,15.0,88.0,590.0,151.0,0
0,52.0,19.0,107.0,524.0,140.0,0
1,86.0,15.0,97.0,592.0,147.0,0
1,49.0,83.0,72.0,769.0,169.0,0
0,49.0,46.0,84.0,553.0,166.0,0
0,26.0,54.0,102.0,491.0,156.0,0
1,64.0,69.0,94.0,672.0,214.0,0
1,76.0,81.0,94.0,888.0,251.0,0
0,56.0,11.0,100.0,434.0,113.0,0
1,51.0,70.0,94.0,721.0,189.0,0
0,82.0,9.0,83.0,643.0,132.0,0
1,83.0,59.0,87.0,933.0,156.0,0
0,31.0,48.0,85.0,411.0,119.0,0
1,85.0,70.0,80.0,714.0,146.0,0
1,74.0,48.0,82.0,809.0,164.0,0
0,33.0,4.0,95.0,319.0,105.0,0
1,59.0,46.0,102.0,540.0,198.0,0
1,66.0,52.0,80.0,691.0,168.0,0
0,44.0,34.0,99.0,506.0,142.0,0
1,95.0,49.0,102.0,797.0,185.0,0
0,27.0,60.0,91.0,502.0,195.0,0
1,76.0,17.0,86.0,626.0,137.0,0
0,41.0,15.0,80.0,397.0,123.0,0
0,57.0,1.0,79.0,432.0,89.0,0
0,30.0,56.0,85.0,374.0,137.0,0
1,71.0,62.0,72.0,774.0,164.0,0
0,76.0,5.0,80.0,508.0,108.0,0
1,74.0,7.0,107.0,668.0,155.0,0
1,84.0,61.0,93.0,685.0,185.0,0
1,95.0,57.0,69.0,896.0,157.0,0
1,83.0,58.0,83.0,828.0,179.0,0
0,75.0,29.0,97.0,659.0,141.0,0
1,66.0,33.0,108.0,551.0,142.0,0
1,71.0,49.0,87.0,713.0,177.0,0
1,89.0,16.0,97.0,719.0,166.0,0
1,87.0,45.0,101.0,850.0,188.0,0
0,71.0,31.0,68.0,503.0,107.0,0
0,33.0,63.0,101.0,513.0,149.0,0
1,74.0,53.0,89.0,715.0,187.0,0
0,63.0,4.0,83.0,489.0,111.0,0
1,75.0,31.0,93.0,569.0,156.0,0
0,48.0,36.0,72.0,494.0,121.0,0
0,75.0,23.0,78.0,480.0,87.0,0
1,89.0,18.0,91.0,761.0,162.0,0
0,73.0,12.0,93.0,506.0,133.0,0
0,47.0,19.0,81.0,435.0,99.0,0
0,66.0,0.0,98.0,550.0,124.0,0
1,87.0,18.0,99.0,639.0,147.0,0
1,68.0,51.0,85.0,663.0,189.0,0
0,55.0,43.0,93.0,570.0,152.0,0
1,67.0,105.0,114.0,1049.0,308.0,0
0,45.0,22.0,83.0,407.0,102.0,0
1,73.0,30.0,94.0,567.0,137.0,0
1,86.0,59.0,84.0,794.0,193.0,0
