Y,red,green,blue,ir_1,vis_1,ir_3,vis_3,E
0,63.0,53.0,107.0,15539.0,3985.0,739.0,214.0,0
0,67.0,78.0,105.0,15775.0,4451.0,924.0,239.0,0
0,62.0,6.0,97.0,10939.0,3100.0,431.0,103.0,0
1,39.0,35.0,72.0,9599.0,2624.0,347.0,81.0,0
1,62.0,2.0,71.0,9115.0,2430.0,346.0,84.0,0
1,86.0,71.0,115.0,19564.0,5255.0,751.0,178.0,0
0,84.0,61.0,93.0,17209.0,4412.0,857.0,185.0,0
1,72.0,41.0,81.0,13287.0,3478.0,630.0,134.0,0
1,56.0,12.0,96.0,10439.0,2824.0,365.0,96.0,0
0,49.0,46.0,84.0,12603.0,2631.0,481.0,149.0,0
0,71.0,62.0,72.0,13967.0,2996.0,640.0,145.0,0
1,60.0,18.0,96.0,11530.0,2854.0,414.0,94.0,0
1,83.0,50.0,73.0,15838.0,3299.0,545.0,106.0,0
0,33.0,63.0,101.0,11038.0,3737.0,572.0,169.0,0
1,75.0,38.0,80.0,13318.0,3260.0,454.0,96.0,0
1,49.0,36.0,82.0,10425.0,2842.0,391.0,88.0,0
0,33.0,4.0,95.0,6031.0,2358.0,326.0,93.0,0
1,52.0,58.0,106.0,13343.0,4382.0,638.0,150.0,0
0,48.0,36.0,72.0,10628.0,2243.0,370.0,119.0,0
0,74.0,7.0,107.0,12864.0,3230.0,576.0,156.0,0
1,69.0,96.0,98.0,20022.0,6139.0,723.0,162.0,0
0,89.0,26.0,116.0,17267.0,4225.0,695.0,179.0,0
1,94.0,3.0,98.0,13586.0,3264.0,505.0,99.0,0
0,73.0,30.0,94.0,14724.0,3350.0,630.0,164.0,0
0,30.0,56.0,85.0,10835.0,3866.0,403.0,150.0,0
0,95.0,49.0,102.0,20668.0,4385.0,911.0,205.0,0
0,89.0,18.0,91.0,13446.0,3279.0,701.0,146.0,0
0,76.0,5.0,80.0,12450.0,2663.0,566.0,113.0,0
1,36.0,22.0,97.0,7317.0,2807.0,306.0,102.0,0
1,71.0,83.0,86.0,17024.0,3957.0,711.0,166.0,0
0,56.0,3.0,99.0,8496.0,2703.0,526.0,159.0,0
0,59.0,53.0,85.0,14367.0,3524.0,572.0,142.0,0
0,74.0,48.0,82.0,12025.0,3616.0,611.0,160.0,0
0,89.0,16.0,97.0,16284.0,3101.0,777.0,162.0,0
1,54.0,82.0,102.0,18687.0,4318.0,551.0,190.0,0
1,66.0,48.0,72.0,13320.0,3304.0,517.0,115.0,0
1,68.0,31.0,115.0,13516.0,3886.0,443.0,122.0,0
1,73.0,25.0,89.0,13430.0,2808.0,442.0,101.0,0
1,38.0,34.0,87.0,7230.0,2894.0,373.0,89.0,0
0,87.0,45.0,101.0,16584.0,4001.0,897.0,174.0,0
0,74.0,53.0,89.0,13735.0,3734.0,807.0,171.0,0
1,24.0,38.0,85.0,7440.0,2565.0,322.0,108.0,0
0,95.0,18.0,82.0,15690.0,2976.0,748.0,141.0,0
0,41.0,43.0,88.0,8008.0,2365.0,443.0,129.0,0
1,104.0,6.0,90.0,20208.0,4373.0,650.0,106.0,0
1,67.0,31.0,94.0,13670.0,3075.0,501.0,115.0,0
0,49.0,36.0,95.0,8370.0,3384.0,493.0,130.0,0
0,72.0,116.0,103.0,23800.0,7013.0,954.0,236.0,0
1,61.0,3.0,87.0,11204.0,2621.0,381.0,101.0,0
0,47.0,19.0,81.0,8718.0,2261.0,409.0,99.0,0
1,41.0,13.0,81.0,8480.0,2400.0,297.0,70.0,0
1,37.0,28.0,90.0,7880.0,2692.0,318.0,95.0,0
0,66.0,90.0,83.0,18694.0,5292.0,839.0,217.0,0
1,67.0,46.0,73.0,14871.0,3209.0,571.0,121.0,0
1,31.0,28.0,83.0,5731.0,2362.0,305.0,70.0,0
0,66.0,33.0,108.0,12415.0,3654.0,709.0,146.0,0
1,76.0,39.0,71.0,13501.0,3417.0,520.0,95.0,0
0,76.0,23.0,79.0,14062.0,2546.0,552.0,114.0,0
1,65.0,72.0,109.0,20324.0,5395.0,556.0,161.0,0
0,57.0,20.0,89.0,13120.0,2463.0,458.0,121.0,0
1,38.0,41.0,102.0,8561.0,3109.0,423.0,112.0,0
0,97.0,23.0,103.0,15031.0,3634.0,764.0,203.0,0
0,63.0,108.0,99.0,18225.0,5873.0,816.0,216.0,0
0,31.0,17.0,62.0,5741.0,1834.0,285.0,72.0,0
0,75.0,36.0,84.0,14867.0,3798.0,610.0,142.0,0
1,68.0,8.0,97.0,11280.0,2680.0,497.0,104.0,0
0,52.0,19.0,107.0,11841.0,3234.0,422.0,196.0,0
1,98.0,43.0,75.0,18421.0,3567.0,504.0,117.0,0
0,55.0,43.0,93.0,11226.0,3228.0,570.0,193.0,0
1,70.0,82.0,93.0,15117.0,4176.0,607.0,166.0,0
0,82.0,9.0,83.0,14867.0,3010.0,602.0,121.0,0
1,82.0,52.0,103.0,18329.0,4302.0,533.0,153.0,0
1,40.0,45.0,90.0,8729.0,2986.0,432.0,105.0,0
0,75.0,15.0,88.0,11884.0,2862.0,604.0,128.0,0
1,77.0,70.0,83.0,17971.0,4024.0,588.0,133.0,0
1,69.0,46.0,88.0,15266.0,2860.0,473.0,117.0,0
0,61.0,35.0,99.0,13260.0,3337.0,558.0,208.0,0
1,71.0,34.0,71.0,11745.0,3458.0,514.0,107.0,0
