Y,red,green,blue,ir_3,vis_3,E
0,63.0,53.0,107.0,739.0,214.0,0
0,67.0,78.0,105.0,924.0,239.0,0
0,62.0,6.0,97.0,431.0,103.0,0
1,39.0,35.0,72.0,347.0,81.0,0
1,62.0,2.0,71.0,346.0,84.0,0
1,86.0,71.0,115.0,751.0,178.0,0
0,84.0,61.0,93.0,857.0,185.0,0
1,72.0,41.0,81.0,630.0,134.0,0
1,56.0,12.0,96.0,365.0,96.0,0
0,49.0,46.0,84.0,481.0,149.0,0
0,71.0,62.0,72.0,640.0,145.0,0
1,60.0,18.0,96.0,414.0,94.0,0
1,83.0,50.0,73.0,545.0,106.0,0
0,33.0,63.0,101.0,572.0,169.0,0
1,75.0,38.0,80.0,454.0,96.0,0
1,49.0,36.0,82.0,391.0,88.0,0
0,33.0,4.0,95.0,326.0,93.0,0
1,52.0,58.0,106.0,638.0,150.0,0
0,48.0,36.0,72.0,370.0,119.0,0
0,74.0,7.0,107.0,576.0,156.0,0
1,69.0,96.0,98.0,723.0,162.0,0
0,89.0,26.0,116.0,695.0,179.0,0
1,94.0,3.0,98.0,505.0,99.0,0
0,73.0,30.0,94.0,630.0,164.0,0
0,30.0,56.0,85.0,403.0,150.0,0
0,95.0,49.0,102.0,911.0,205.0,0
0,89.0,18.0,91.0,701.0,146.0,0
0,76.0,5.0,80.0,566.0,113.0,0
1,36.0,22.0,97.0,306.0,102.0,0
1,71.0,83.0,86.0,711.0,166.0,0
0,56.0,3.0,99.0,526.0,159.0,0
0,59.0,53.0,85.0,572.0,142.0,0
0,74.0,48.0,82.0,611.0,160.0,0
0,89.0,16.0,97.0,777.0,162.0,0
1,54.0,82.0,102.0,551.0,190.0,0
1,66.0,48.0,72.0,517.0,115.0,0
1,68.0,31.0,115.0,443.0,122.0,0
1,73.0,25.0,89.0,442.0,101.0,0
1,38.0,34.0,87.0,373.0,89.0,0
0,87.0,45.0,101.0,897.0,174.0,0
0,74.0,53.0,89.0,807.0,171.0,0
1,24.0,38.0,85.0,322.0,108.0,0
0,95.0,18.0,82.0,748.0,141.0,0
0,41.0,43.0,88.0,443.0,129.0,0
1,104.0,6.0,90.0,650.0,106.0,0
1,67.0,31.0,94.0,501.0,115.0,0
0,49.0,36.0,95.0,493.0,130.0,0
0,72.0,116.0,103.0,954.0,236.0,0
1,61.0,3.0,87.0,381.0,101.0,0
0,47.0,19.0,81.0,409.0,99.0,0
1,41.0,13.0,81.0,297.0,70.0,0
1,37.0,28.0,90.0,318.0,95.0,0
0,66.0,90.0,83.0,839.0,217.0,0
1,67.0,46.0,73.0,571.0,121.0,0
1,31.0,28.0,83.0,305.0,70.0,0
0,66.0,33.0,108.0,709.0,146.0,0
1,76.0,39.0,71.0,520.0,95.0,0
0,76.0,23.0,79.0,552.0,114.0,0
1,65.0,72.0,109.0,556.0,161.0,0
0,57.0,20.0,89.0,458.0,121.0,0
1,38.0,41.0,102.0,423.0,112.0,0
0,97.0,23.0,103.0,764.0,203.0,0
0,63.0,108.0,99.0,816.0,216.0,0
0,31.0,17.0,62.0,285.0,72.0,0
0,75.0,36.0,84.0,610.0,142.0,0
1,68.0,8.0,97.0,497.0,104.0,0
0,52.0,19.0,107.0,422.0,196.0,0
1,98.0,43.0,75.0,504.0,117.0,0
