Y,red,green,blue,ir_1,vis_1,ir_3,vis_3,E
0,63.0,53.0,107.0,15549.0,3833.0,674.0,149.0,0
0,67.0,78.0,105.0,15665.0,4662.0,890.0,207.0,0
0,62.0,6.0,97.0,14072.0,2898.0,474.0,135.0,0
1,39.0,35.0,72.0,8089.0,2440.0,307.0,76.0,0
1,62.0,2.0,71.0,9422.0,2120.0,284.0,60.0,0
1,86.0,71.0,115.0,23069.0,5686.0,659.0,139.0,0
0,84.0,61.0,93.0,16864.0,4597.0,917.0,212.0,0
1,72.0,41.0,81.0,13805.0,3855.0,468.0,81.0,0
1,56.0,12.0,96.0,7935.0,3238.0,327.0,76.0,0
0,49.0,46.0,84.0,10997.0,3177.0,514.0,146.0,0
0,71.0,62.0,72.0,16389.0,2854.0,844.0,155.0,0
1,60.0,18.0,96.0,10326.0,3002.0,304.0,63.0,0
1,83.0,50.0,73.0,16881.0,3475.0,469.0,89.0,0
0,33.0,63.0,101.0,11354.0,3806.0,573.0,172.0,0
1,75.0,38.0,80.0,14188.0,3275.0,420.0,88.0,0
1,49.0,36.0,82.0,9093.0,2938.0,336.0,82.0,0
0,33.0,4.0,95.0,5127.0,2240.0,307.0,108.0,0
1,52.0,58.0,106.0,13779.0,4294.0,359.0,112.0,0
0,48.0,36.0,72.0,7606.0,2055.0,582.0,120.0,0
0,74.0,7.0,107.0,13743.0,3249.0,553.0,164.0,0
1,69.0,96.0,98.0,20832.0,4655.0,565.0,120.0,0
0,89.0,26.0,116.0,16985.0,4509.0,673.0,163.0,0
1,94.0,3.0,98.0,13815.0,3025.0,460.0,84.0,0
0,73.0,30.0,94.0,13727.0,3222.0,748.0,169.0,0
0,30.0,56.0,85.0,7967.0,3480.0,452.0,146.0,0
0,95.0,49.0,102.0,15975.0,4865.0,774.0,174.0,0
0,89.0,18.0,91.0,16080.0,2568.0,650.0,141.0,0
0,76.0,5.0,80.0,12597.0,2282.0,529.0,129.0,0
1,36.0,22.0,97.0,8462.0,2698.0,267.0,70.0,0
1,71.0,83.0,86.0,18329.0,4212.0,571.0,105.0,0
0,56.0,3.0,99.0,10453.0,2531.0,459.0,114.0,0
0,59.0,53.0,85.0,13642.0,3460.0,642.0,156.0,0
0,74.0,48.0,82.0,16357.0,3320.0,684.0,180.0,0
0,89.0,16.0,97.0,16310.0,3707.0,577.0,148.0,0
1,54.0,82.0,102.0,18466.0,4134.0,495.0,131.0,0
1,66.0,48.0,72.0,11597.0,3293.0,365.0,86.0,0
1,68.0,31.0,115.0,15074.0,4164.0,380.0,95.0,0
1,73.0,25.0,89.0,15709.0,3223.0,379.0,92.0,0
1,38.0,34.0,87.0,8360.0,2443.0,275.0,79.0,0
0,87.0,45.0,101.0,16541.0,3541.0,587.0,157.0,0
0,74.0,53.0,89.0,17412.0,3278.0,537.0,150.0,0
1,24.0,38.0,85.0,7296.0,2419.0,203.0,75.0,0
0,95.0,18.0,82.0,16268.0,3165.0,685.0,130.0,0
0,41.0,43.0,88.0,9895.0,2740.0,510.0,135.0,0
1,104.0,6.0,90.0,16495.0,3157.0,420.0,80.0,0
1,67.0,31.0,94.0,13795.0,3524.0,339.0,97.0,0
