Y,red,green,blue,vis_1,ir_2,vis_2,ir_3,vis_3,E
1,84.0,32.0,74.0,3553.0,1560.0,299.0,737.0,145.0,0
1,67.0,29.0,113.0,3449.0,1774.0,476.0,602.0,165.0,0
1,62.0,16.0,90.0,3128.0,1179.0,258.0,524.0,122.0,0
0,56.0,39.0,82.0,3140.0,1559.0,403.0,453.0,112.0,0
0,68.0,1.0,91.0,3153.0,1445.0,357.0,558.0,135.0,0
1,66.0,90.0,83.0,5008.0,2240.0,605.0,918.0,181.0,0
1,83.0,61.0,103.0,3603.0,2002.0,515.0,962.0,221.0,0
0,51.0,56.0,69.0,3434.0,1352.0,345.0,651.0,150.0,0
1,63.0,49.0,75.0,3264.0,1615.0,317.0,600.0,136.0,0
0,56.0,3.0,99.0,2514.0,1107.0,254.0,474.0,136.0,0
0,42.0,30.0,70.0,2389.0,1005.0,262.0,380.0,99.0,0
0,51.0,31.0,99.0,3047.0,1103.0,374.0,516.0,158.0,0
0,31.0,17.0,62.0,1702.0,578.0,204.0,292.0,84.0,0
1,59.0,57.0,94.0,4109.0,1736.0,451.0,626.0,168.0,0
1,57.0,45.0,101.0,3581.0,1470.0,360.0,575.0,151.0,0
1,67.0,78.0,105.0,5258.0,2051.0,567.0,835.0,242.0,0
1,89.0,26.0,116.0,3613.0,1868.0,443.0,827.0,199.0,0
0,45.0,21.0,90.0,2959.0,1209.0,392.0,459.0,116.0,0
1,59.0,53.0,85.0,3485.0,1949.0,503.0,642.0,183.0,0
1,72.0,116.0,103.0,5726.0,2661.0,611.0,1101.0,253.0,0
1,67.0,25.0,87.0,2909.0,1487.0,369.0,673.0,133.0,0
0,67.0,15.0,94.0,3232.0,1335.0,360.0,565.0,134.0,0
0,65.0,16.0,65.0,2557.0,1044.0,206.0,543.0,104.0,0
1,69.0,15.0,100.0,2518.0,1439.0,411.0,651.0,134.0,0
0,41.0,43.0,88.0,3116.0,1269.0,357.0,550.0,145.0,0
0,46.0,36.0,92.0,3327.0,1495.0,342.0,519.0,122.0,0
1,61.0,35.0,99.0,2965.0,1641.0,468.0,506.0,130.0,0
1,86.0,20.0,87.0,2827.0,1911.0,422.0,720.0,165.0,0
1,89.0,67.0,106.0,4881.0,2792.0,663.0,909.0,196.0,0
0,49.0,36.0,95.0,2916.0,1105.0,375.0,524.0,134.0,0
0,62.0,6.0,97.0,2784.0,1408.0,291.0,549.0,144.0,0
1,63.0,108.0,99.0,5415.0,2438.0,643.0,960.0,262.0,0
0,60.0,17.0,85.0,3218.0,1198.0,348.0,513.0,128.0,0
1,102.0,53.0,65.0,3177.0,2188.0,397.0,763.0,163.0,0
1,83.0,62.0,86.0,4265.0,2127.0,424.0,924.0,180.0,0
1,75.0,36.0,84.0,2976.0,1607.0,432.0,609.0,134.0,0
0,54.0,22.0,107.0,3092.0,1672.0,403.0,518.0,149.0,0
0,43.0,34.0,82.0,2635.0,1171.0,316.0,501.0,139.0,0
1,95.0,18.0,82.0,2860.0,1791.0,394.0,738.0,123.0,0
1,79.0,36.0,106.0,4042.0,2108.0,547.0,731.0,188.0,0
0,50.0,20.0,99.0,3203.0,1249.0,344.0,522.0,149.0,0
1,75.0,15.0,88.0,2690.0,1428.0,351.0,590.0,151.0,0
0,52.0,19.0,107.0,2990.0,1202.0,362.0,524.0,140.0,0
1,86.0,15.0,97.0,3947.0,1801.0,376.0,592.0,147.0,0
1,49.0,83.0,72.0,3728.0,1661.0,495.0,769.0,169.0,0
0,49.0,46.0,84.0,3024.0,1412.0,359.0,553.0,166.0,0
0,26.0,54.0,102.0,3095.0,1345.0,405.0,491.0,156.0,0
1,64.0,69.0,94.0,4485.0,1713.0,447.0,672.0,214.0,0
1,76.0,81.0,94.0,4363.0,2041.0,541.0,888.0,251.0,0
0,56.0,11.0,100.0,2572.0,986.0,260.0,434.0,113.0,0
1,51.0,70.0,94.0,4387.0,1662.0,456.0,721.0,189.0,0
0,82.0,9.0,83.0,2854.0,1940.0,419.0,643.0,132.0,0
1,83.0,59.0,87.0,4318.0,1903.0,390.0,933.0,156.0,0
0,31.0,48.0,85.0,2243.0,1066.0,352.0,411.0,119.0,0
1,85.0,70.0,80.0,4686.0,2374.0,536.0,714.0,146.0,0
1,74.0,48.0,82.0,3318.0,1590.0,390.0,809.0,164.0,0
0,33.0,4.0,95.0,2305.0,808.0,311.0,319.0,105.0,0
1,59.0,46.0,102.0,3344.0,1240.0,392.0,540.0,198.0,0
1,66.0,52.0,80.0,4201.0,1277.0,300.0,691.0,168.0,0
0,44.0,34.0,99.0,3417.0,1148.0,404.0,506.0,142.0,0
